courier_id,level,speed,max_load
116288617,3,5.118993167098902,8
100069773,3,5.603333721389069,10
106108922,2,5.662176910259445,10
118559025,3,6.098996269787049,9
120948521,3,5.209582379590681,10
10513697,3,5.337030833326824,9
10656566,3,5.364141486561554,10
10711180,3,5.631132794391031,8
107672506,2,5.792797702705596,7
10788423,3,5.263222258556549,9
117025081,3,5.071546090980051,9
117672601,3,5.627275713417482,8
118667561,3,5.401882318065811,11
10311341,3,5.467183438845633,10
10377583,3,5.812312846493894,9
105898418,2,5.38661300392638,5
119058345,1,5.2830292459867465,6
124686817,2,5.083851371660422,7
107699026,3,5.348277787122537,12
116795681,1,5.127252333178082,3
100006950,2,5.526800935128082,6
10619173,2,5.396907954601885,9
10699173,3,5.1268516490435925,10
112525786,2,4.9154746541342,4
112996714,3,5.170470476112132,11
113147922,3,5.268683631502935,8
102505146,3,6.115034791420516,12
10289729,2,4.963752584499703,7
10360357,2,4.848499437337539,6
111025498,3,5.530311002119144,10
118266025,3,5.461024393668754,9
10199051,3,5.041855409441994,9
118916329,3,4.651520077896187,8
119531657,3,5.386473768901008,7
121658489,3,5.22644873746547,10
122060865,3,5.110151729891744,9
102054458,2,5.131249719891305,5
111227890,3,5.706879089899319,10
118533169,2,5.343682020111518,10
10525316,3,4.287336164233263,9
112516818,3,6.031140095648964,7
117068537,3,6.0611188377195955,9
118558089,2,5.710082222318375,7
123307425,3,5.502825515002808,7
100023698,2,5.4781404939738225,11
102086882,2,5.712637236382973,7
104583538,3,4.850521328165657,7
108061506,3,5.895157532762728,7
118789185,3,5.382528055107848,6
101914266,3,5.178437747399503,9
102085666,2,6.257180654226015,6
103384498,3,5.212912263571693,10
10370848,3,5.0237188669572825,11
110042570,2,5.610085936260425,6
112905898,3,5.821651208373043,5
118785289,3,4.411983956657223,14
10364589,3,5.38029002805311,10
10516487,2,5.246059878211712,10
106973146,2,5.336719308234138,8
113485593,2,5.277929255472216,7
118877049,2,5.672984306100089,6
10659886,3,5.9372298362562805,9
119899809,3,5.569856714552027,9
120119785,3,5.144040244411157,8
123931449,3,5.316489413693405,9
10405101,3,5.821755633937824,9
10584671,1,4.386489514617466,7
111731282,2,5.169981622500062,7
123968217,2,5.627317256694448,7
112040778,2,5.87132742857887,3
121572297,3,5.962131492614459,7
102333794,2,5.81527489621572,7
117070713,3,5.19775946428703,7
118662905,3,5.386769256940854,10
10518924,2,5.227765326810883,7
112044866,3,5.430006585998967,7
