courier_id,level,speed,max_load
118778673,2,5.729668317127521,2
102333794,2,5.9097498427364386,8
117070713,3,5.659853514244776,6
118662905,3,5.242056988732708,10
10584671,0,5.528050489617971,3
106568746,2,5.682450857564898,6
106623778,0,6.658184316616638,10
111731282,3,5.065243801282171,9
118394873,2,5.307969559556785,9
123968217,0,5.463719040799965,10
100069773,3,5.606300693140521,11
118559025,3,6.632291407626342,8
120948521,3,5.60815203478915,10
102748698,3,5.431412731837408,11
10712014,2,5.342806970954339,10
118818985,3,6.074854723496103,9
122939081,3,5.750857077346535,11
10659886,3,6.284908665126381,7
120119785,3,5.487562138040238,10
123931449,3,5.49565543882698,10
10525316,2,5.315832331106147,9
117068537,3,6.310931926337862,10
103191818,3,5.647886618173775,11
10413087,3,6.1528321983315815,9
119058345,1,5.508060582080138,8
124686817,2,5.032648063555805,9
10303438,3,5.323859863875175,8
118781361,3,5.804314303948671,11
121955505,2,5.506408466180584,8
10344320,2,4.738390185868134,6
10364589,3,5.70980866996831,10
106973146,0,5.680229709083884,7
118877049,2,5.562553298596366,8
10043801,3,4.83348721187011,9
103502002,3,5.613846625291499,9
118841633,3,5.229312473297246,9
122081305,3,5.484279797728974,10
125864962,2,5.464026661101534,8
101393874,3,5.672090979743988,9
103404602,3,5.988854080432587,10
10703085,3,4.1721901263288075,7
112040778,2,5.460062274711495,3
119149737,3,5.959073911080092,8
121572297,3,4.761252801840372,5
118308465,3,4.500310580051574,7
10576831,3,5.359207771009605,11
116288617,3,5.459517860450344,8
101914266,2,5.446454115729523,10
103384498,3,5.688641667837262,10
10370848,3,5.418381481596783,9
107736970,3,5.0047455322288865,10
110042570,2,5.4313713810727755,8
112905898,3,5.429295839162114,9
118785289,2,5.5562770718801655,6
107699026,3,5.372623915244697,12
116795681,2,5.578375932942466,3
111356426,3,5.893869212415392,7
101579522,0,5.612479599733911,6
120551017,2,5.61879788997242,12
100006950,0,5.312744452388468,4
10619173,2,5.576615508036141,9
10799255,2,5.760097395493653,8
112996714,3,5.661960601156636,11
113147922,3,5.5566268436859625,10
116274473,3,5.694171832365528,10
117428305,2,5.79943056859217,7
10618353,3,5.917021250102769,9
102505146,3,5.5250788472589685,13
10289729,3,4.807279883804213,9
10360357,1,4.455432141687745,7
111025498,3,5.544260002931519,11
118266025,3,5.69258712577068,10
102449370,2,5.8661149434799595,9
117779017,3,6.084015071155377,8
118533225,3,5.589627468237073,11
10100267,3,4.1370463928591725,10
10120267,3,5.306235273738778,11
10696059,2,6.327464018613852,8
10757702,1,5.160653067203651,10
