courier_id,wave_index,tracking_id,weather_grade,pick_lng,pick_lat,deliver_lng,deliver_lat,create_time,confirm_time,assigned_time,promise_deliver_time,estimate_pick_time,aoi_id,shop_id
100002543,0,2100074669845513476,正常天气,121.62723,39.134409,121.661924,39.129111,1580771664,1580771665,1580864688,1580867100,1580773165,72a576c493745ba38655783b4e2aab15,a29df4ba343fafd7cf9bc6b0bd7322a7
100002543,0,2100074711613867268,正常天气,121.62723,39.134409,121.649294,39.139061,1580857696,1580857697,1580864568,1580867100,1580859197,81bdfc76480db597e248ecd030b3aa2f,a29df4ba343fafd7cf9bc6b0bd7322a7
100002543,0,2100074712508564740,正常天气,121.62723,39.134409,121.633864,39.133251,1580859918,1580859919,1580865049,1580867100,1580861419,0d45c78c73aab7671ac8737a6ddc8209,a29df4ba343fafd7cf9bc6b0bd7322a7
100002543,1,2100074721622754376,极恶劣天气,121.630467,39.139444,121.632824,39.127971,1580875843,1580875844,1580875849,1580878423,1580876444,2f89e5026dc7173719be6e515b4f3ad2,657cfd65ce9ea601dc18282c1d337b15
100002543,1,2100074723210855749,极恶劣天气,121.630624,39.134761,121.632664,39.127251,1580876416,1580876418,1580876449,1580879296,1580877318,2d13a743fec49e6ce971e322f43695b7,d97fb99890e2ace6955f21909cdd62dc
100002543,1,2100074722234828364,极恶劣天气,121.629854,39.134711,121.634024,39.129091,1580876713,1580876714,1580876749,1580878993,1580877614,5710eb116f27527390bec7aa5cedb44d,18e2305e99dbc89aaec8dac3d89c5a85
100002543,2,2100074727789790836,极恶劣天气,121.628645,39.134531,121.616854,39.134421,1580882103,1580882104,1580882269,1580884683,1580883184,8f9d41c3ff40c4391a023e42a331144b,d5f36d54c0b0e914d6676fd87bfd5a0c
100002543,2,2100074726807864392,极恶劣天气,121.630467,39.139444,121.611684,39.129651,1580882663,1580882664,1580882688,1580885483,1580883384,237b077fe87aa6984cb5236fa7dc4123,657cfd65ce9ea601dc18282c1d337b15
100002543,3,2100074730638870092,正常天气,121.629854,39.134711,121.615684,39.130971,1580885206,1580885207,1580885208,1580887546,1580886107,283a22e42f3365c8f4f52cff9edabb5a,18e2305e99dbc89aaec8dac3d89c5a85
100002543,3,2100074730072737356,正常天气,121.629854,39.134711,121.620944,39.131171,1580885443,1580885443,1580885449,1580887723,1580886343,d814f4e3dcf9e6f473e213232b9ba115,18e2305e99dbc89aaec8dac3d89c5a85
100002543,4,2100074731675092016,极恶劣天气,121.625877,39.133641,121.635514,39.138191,1580887136,1580887138,1580887189,1580889416,1580888038,0cd6a40ae578078bc72e5310df41e918,4f13005bbdb117c188608fa4e53166a8
100002543,4,2100074732813616453,极恶劣天气,121.630624,39.134761,121.621124,39.137361,1580887502,1580887505,1580887669,1580890082,1580888765,8f9d41c3ff40c4391a023e42a331144b,d97fb99890e2ace6955f21909cdd62dc
100002543,5,2100074736997926730,极恶劣天气,121.647214,39.135549,121.633514,39.140441,1580894728,1580894729,1580894749,1580897008,1580895329,97879ec156dcc0b9f08f2802fdf2a010,02615f185581167cc68ba41af3d25ce6
100002543,5,2100074737570416110,极恶劣天气,121.642545,39.135143,121.617264,39.143351,1580894776,1580894782,1580894809,1580898556,1580895442,11a7a1149cbbd3af0eacfb0c7628c730,461020f8054ac8852d39b225fce187f1
100002543,5,2100074738332894266,极恶劣天气,121.642809,39.135239,121.623614,39.142671,1580895429,1580895448,1580895469,1580898549,1580896108,51ee09657a1523ba7b30b59a01422fbb,b763066c55039d95004734460faa5c8c
100002652,0,2100074707178194414,正常天气,121.565872,39.144911,121.551434,39.149971,1580821817,1580821818,1580864769,1580867100,1580823318,18f6d160058cd85105c94b25858d9212,6ba8a6835b6b8063c7484e7d77983d9e
100002652,0,2100074711331669577,正常天气,121.559167,39.143862,121.554404,39.145661,1580836133,1580836135,1580865188,1580867100,1580837635,363fa347bfe520bc9430a5d1b11fe934,9c1c3712a6b3df108815635ceab5556a
100002652,1,2100074713388877385,正常天气,121.559167,39.143862,121.565694,39.135171,1580866929,1580866931,1580866988,1580869449,1580867651,24dac3f2da8b8bcd0e2a802df7c7a1d0,9c1c3712a6b3df108815635ceab5556a
100002652,1,2100074713423808128,正常天气,121.563776,39.141948,121.562594,39.135521,1580867380,1580867383,1580867409,1580869180,1580868283,b43933ac1273f1b3f6fb6305b983f24b,c61a695297460f5d71cf2325cb093610
100002652,2,2100074716165244489,正常天气,121.559167,39.143862,121.564544,39.146381,1580869330,1580869335,1580869388,1580871730,1580870235,0ced765b2776308f473cfd7a8bdd1626,9c1c3712a6b3df108815635ceab5556a
100002652,2,2100074717483140352,极恶劣天气,121.564017,39.14282,121.562944,39.138881,1580869962,1580869964,1580869989,1580872242,1580870684,b6ede3e0ed417c560c46195f9d3c5cb7,22c2c3f5843b8b2b0a9f16ce4185079b
100002652,2,2100074716281537654,极恶劣天气,121.563906,39.141977,121.565254,39.144061,1580870417,1580870718,1580870769,1580872517,1580871497,dbb422937d7ff56e049d61da730b3e11,1f93a5d50953fac07d7e6f54827ce9bc
100002652,2,2100074717243606601,极恶劣天气,121.559167,39.143862,121.563924,39.132681,1580871080,1580871081,1580871849,1580874300,1580872581,83dee8ebdfe9e1516aeb4e2d5e9954fd,9c1c3712a6b3df108815635ceab5556a
100002652,3,2100074718631494774,极恶劣天气,121.563906,39.141977,121.587994,39.142341,1580873139,1580873439,1580873469,1580876259,1580874219,2f69d616db48041420db0fb0e72183a6,1f93a5d50953fac07d7e6f54827ce9bc
100002652,3,2100074720218776694,极恶劣天气,121.563906,39.141977,121.564044,39.146211,1580873352,1580873652,1580874048,1580875512,1580874492,0ced765b2776308f473cfd7a8bdd1626,1f93a5d50953fac07d7e6f54827ce9bc
