courier_id,level,speed,max_load
10361752,3,6.268392443827461,7
10478035,2,5.648793472986169,9
118916329,3,4.402343966125526,8
119531657,3,5.031914388446805,7
102054458,2,4.891872069875495,5
111227890,3,6.027047723049134,10
117026449,3,5.604926699498959,8
118533169,2,5.524949886136396,10
10215664,2,5.318821050726236,9
112665362,1,5.894549657040144,11
116024137,2,5.8880199348500035,4
117055625,3,5.694603906119734,7
118894089,3,4.96113569509718,9
125119169,3,4.836467456424613,8
103258066,3,4.242716366448358,5
10804247,3,5.375099145379502,12
110105858,3,5.439068365679476,6
113078386,2,5.170361549475937,7
124928417,3,5.451261377635276,11
102952578,3,5.229943977025754,8
10638398,3,5.011379541776801,8
113977305,3,5.453989573504776,11
118811881,3,4.74915991885243,10
124682649,3,5.787893771503248,11
112040778,2,6.41040546725853,5
119149737,3,6.343211176676178,9
121572297,3,5.832843245124441,6
121658489,3,5.63483597205329,10
122060865,3,5.527490827261348,9
100069773,3,5.2096632624531205,10
106108922,3,5.164851802230423,10
118559025,3,5.947160266007975,9
120948521,3,6.040414448973971,10
103216506,3,5.528691460099935,8
10572923,2,4.936042533769166,9
112025322,1,5.765380679423376,7
107699026,3,6.090587650102121,12
116795681,1,5.695229352085734,3
10038649,3,5.530330233779673,10
10181667,2,4.386910347821705,7
102064138,2,6.164437067119023,9
10507382,0,6.679959893826115,11
10840157,2,6.172242672169819,7
116377137,3,5.947270869510118,10
10659886,3,6.304181812749319,11
119899809,3,5.970083030481614,9
120119785,3,5.477500932618817,8
123931449,3,5.571764650644908,9
10311341,3,6.1541727521887255,10
10377583,3,6.198061184970301,9
105898418,2,5.953946153381066,7
10731743,2,5.7886374396607705,3
119058345,1,5.603061885354927,6
124686817,3,5.282707679453278,7
102010482,2,6.332571299887655,8
102106834,3,4.953219463945889,9
10748878,2,5.908096418744044,8
10513697,3,5.6553383088994895,9
10656566,3,5.285227649644484,10
10711180,3,6.57629863352949,8
107672506,1,5.6505220018306925,6
10788423,3,4.22566945122358,11
117021681,3,5.595761567936345,10
117025081,3,5.664764715682718,7
117672601,3,6.029735876247847,8
118667561,3,6.44299536512494,11
100006950,2,5.7277248445698925,6
10619173,2,5.779485421389447,9
10699173,3,5.660029192794782,10
10799255,2,5.733176122386511,6
112525786,2,5.302306332363592,4
112996714,3,5.341053063643836,10
113147922,3,5.617119676576905,8
116274473,3,5.544349637120585,9
117428305,2,6.133778255402606,5
102449370,3,5.886406233908027,9
117779017,3,5.457241763249177,6
118533225,3,5.798099993984718,10
10344320,2,4.968631510430053,6
10364589,3,5.458747813991797,8
10516487,2,5.502615140691836,10
106973146,2,5.819975959211265,8
113485593,2,5.440578809307549,7
118877049,2,5.584356636408596,6
122079457,2,5.322919644142618,5
10525316,3,5.890402358595782,5
112516818,3,6.297505101861018,7
117068537,3,5.997410366093314,9
118558089,2,4.904884093256605,7
123307425,3,6.007485132999925,7
10126649,2,5.7529823404169385,3
102505146,3,5.4826757262860735,12
10289729,2,5.782025958746756,7
10360357,2,5.2500714362444345,6
111025498,3,5.740306894546679,10
118266025,3,5.465110938943962,7
10576831,3,5.626432681851355,11
114251905,2,5.217727267098972,11
116288617,3,5.591404968238502,8
119719617,3,5.738432081941359,9
10161032,3,6.390159672004836,10
114595465,2,5.409753454581805,9
116872833,3,5.751454664813961,7
118831497,3,4.994316278723399,6
102928218,2,5.441880511126255,5
10298963,3,5.2052787030779,9
118791281,2,5.742849448554196,6
10294745,3,6.2913095996956345,9
10749684,2,6.269002450513192,4
107597442,2,6.174832568915119,9
117013553,3,5.51008667135425,9
118970753,3,6.0185762256776565,7
119233153,3,5.150087015370112,8
118308465,3,5.413575510629115,7
118778673,2,5.7444530417192805,2
118888121,3,5.46709960523614,10
10043299,2,5.29167713173777,7
10232315,3,5.85405960147442,13
10626566,3,5.167795769313039,10
10703923,1,5.342002777951347,9
117042865,3,6.276304482957583,6
10021791,3,5.469483845721713,10
102358466,3,5.3500736117238255,8
10572143,2,5.683448337484253,9
114244561,3,5.216961823755116,7
116050601,2,4.804233676849911,4
118760649,3,5.093335273735166,9
123948441,2,5.364827368482982,8
124924697,2,5.601599809770727,8
10183941,3,5.859452620398525,9
117916001,3,5.512709616552988,8
120625801,2,5.870665983358267,8
10760325,2,5.300953380989623,9
114286177,3,5.548520627861562,8
