courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
124612641,1,2100076476734080970,121.582751,39.130829,PICKUP,1583468230
124612641,1,2100076476734080970,121.582751,39.130829,DELIVERY,1583468741
124612641,1,2100076477170648975,121.582751,39.130829,PICKUP,1583468972
124612641,1,2100076476126431119,121.582751,39.130829,PICKUP,1583468973
124612641,1,2100076477170648975,121.582751,39.130829,DELIVERY,0
124612641,1,2100076476126431119,121.582751,39.130829,DELIVERY,0
124612641,1,2100076475348551181,121.582751,39.130829,DELIVERY,0
124612641,1,2100076475348551181,121.582751,39.130829,PICKUP,0
125812730,1,2100076455950288622,121.409973,39.125937,PICKUP,1583463435
125812730,1,2100076456506066671,121.409973,39.125937,PICKUP,1583463746
125812730,1,2100076456506066671,121.409973,39.125937,DELIVERY,1583464000
125812730,1,2100076457324840439,121.409973,39.125937,PICKUP,0
125812730,1,2100076455950288622,121.409973,39.125937,DELIVERY,0
125812730,1,2100076457324840439,121.409973,39.125937,DELIVERY,0
117779017,1,2100076475980645781,121.342578,39.137622,PICKUP,1583469043
117779017,1,2100076476956607611,121.342578,39.137622,PICKUP,1583470575
117779017,1,2100076476956607611,121.342578,39.137622,DELIVERY,1583470783
117779017,1,2100076484575266530,121.342578,39.137622,DELIVERY,0
117779017,1,2100076475980645781,121.342578,39.137622,DELIVERY,0
117779017,1,2100076484575266530,121.342578,39.137622,PICKUP,0
109767250,1,2100076509575481025,121.548714,39.083633,PICKUP,1583487771
109767250,1,2100076509575481025,121.548714,39.083633,DELIVERY,1583488518
109767250,1,2100076514423310046,121.548714,39.083633,PICKUP,1583490096
109767250,1,2100076514682636049,121.548714,39.083633,PICKUP,1583490098
109767250,1,2100076514423310046,121.548714,39.083633,DELIVERY,1583490469
109767250,1,2100076514682636049,121.548714,39.083633,DELIVERY,1583491025
109767250,1,2100076520054884113,121.548714,39.083633,PICKUP,1583491399
109767250,1,2100076518856754841,121.548714,39.083633,PICKUP,0
109767250,1,2100076520054884113,121.548714,39.083633,DELIVERY,0
109767250,1,2100076520707622120,121.548714,39.083633,PICKUP,0
109767250,1,2100076520707622120,121.548714,39.083633,DELIVERY,0
109767250,1,2100076518856754841,121.548714,39.083633,DELIVERY,0
102106834,5,2100076511790827025,121.524271,39.183909,PICKUP,1583487990
102106834,5,2100076511790827025,121.524271,39.183909,DELIVERY,1583488272
102106834,5,2100076514182399597,121.524271,39.183909,PICKUP,1583488956
102106834,5,2100076515069199976,121.524271,39.183909,PICKUP,0
102106834,5,2100076514182399597,121.524271,39.183909,DELIVERY,0
102106834,5,2100076515069199976,121.524271,39.183909,DELIVERY,0
10319201,1,2100076468316898668,121.755322,39.114268,PICKUP,1583466656
10319201,1,2100076468103120692,121.755322,39.114268,PICKUP,1583467258
10319201,1,2100076470816179866,121.755322,39.114268,DELIVERY,0
10319201,1,2100076468316898668,121.755322,39.114268,DELIVERY,0
10319201,1,2100076470816179866,121.755322,39.114268,PICKUP,0
10319201,1,2100076468103120692,121.755322,39.114268,DELIVERY,0
122775745,1,2100076511091262610,121.942479,39.597172,PICKUP,1583488246
122775745,1,2100076511091262610,121.942479,39.597172,DELIVERY,1583488455
122775745,1,2100076518326371332,121.942479,39.597172,PICKUP,1583490236
122775745,1,2100076518326371332,121.942479,39.597172,DELIVERY,0
122775745,1,2100076512682771486,121.942479,39.597172,DELIVERY,0
122775745,1,2100076512682771486,121.942479,39.597172,PICKUP,0
102505130,1,2100076448716817443,121.531014,39.237084,PICKUP,1583458726
102505130,1,2100076444068349115,121.531014,39.237084,PICKUP,1583458729
102505130,1,2100076447712379939,121.531014,39.237084,PICKUP,1583458731
102505130,1,2100076429012371409,121.531014,39.237084,PICKUP,0
102505130,1,2100076448716817443,121.531014,39.237084,DELIVERY,0
102505130,1,2100076447712379939,121.531014,39.237084,DELIVERY,0
102505130,1,2100076444068349115,121.531014,39.237084,DELIVERY,0
102505130,1,2100076429012371409,121.531014,39.237084,DELIVERY,0
102505130,3,2100076454635439567,121.549636,39.250455,PICKUP,1583463899
102505130,3,2100076454635439567,121.549636,39.250455,DELIVERY,1583464160
102505130,3,2100076461299402649,121.549636,39.250455,PICKUP,1583464366
102505130,3,2100076461299402649,121.549636,39.250455,DELIVERY,0
102505130,3,2100076460454216891,121.549636,39.250455,PICKUP,0
102505130,3,2100076460454216891,121.549636,39.250455,DELIVERY,0
102505130,5,2100076494802814224,121.549947,39.247128,PICKUP,1583477992
102505130,5,2100076492927042733,121.549947,39.247128,PICKUP,1583478422
102505130,5,2100076492927042733,121.549947,39.247128,DELIVERY,1583478614
102505130,5,2100076495159395791,121.549947,39.247128,DELIVERY,0
102505130,5,2100076494802814224,121.549947,39.247128,DELIVERY,0
